"COM";"Région";"Commune";"PTOT";"Médecin généraliste";"Masseur kinésithérapeute";"Pédicure-podologue";"Diététicien";"LIBGEO";"Boulodrome";"Tennis";"Athlétisme";"Plateaux et terrains de jeux extérieurs";"Salles spécialisées";"Terrains de grands jeux";"Salles de combat";"Salles de remise en forme";"Salles multisports (gymnase)"
"01004";"Auvergne-Rhône-Alpes";"Ambérieu-en-Bugey";"15240";"24";"24";"6";"2";"Ambérieu-en-Bugey";"4";"2";"2";"1";"5";"1";"2";"0";"5"
"01033";"Auvergne-Rhône-Alpes";"Valserhône";"16611";"12";"14";"5";"2";"Valserhône";"8";"2";"0";"8";"5";"4";"3";"4";"4"
"01143";"Auvergne-Rhône-Alpes";"Divonne-les-Bains";"10353";"9";"9";"5";"0";"Divonne-les-Bains";"1";"3";"1";"4";"1";"2";"1";"1";"1"
"01160";"Auvergne-Rhône-Alpes";"Ferney-Voltaire";"11093";"9";"10";"4";"2";"Ferney-Voltaire";"2";"1";"0";"4";"1";"1";"1";"0";"1"
"01173";"Auvergne-Rhône-Alpes";"Gex";"13391";"8";"6";"5";"1";"Gex";"1";"2";"0";"1";"2";"3";"0";"0";"3"
"01249";"Auvergne-Rhône-Alpes";"Miribel";"10375";"10";"9";"4";"0";"Miribel";"4";"2";"1";"3";"2";"5";"2";"0";"3"
"01354";"Auvergne-Rhône-Alpes";"Saint-Genis-Pouilly";"14764";"8";"6";"3";"2";"Saint-Genis-Pouilly";"1";"3";"2";"4";"1";"6";"1";"2";"1"
"02168";"Hauts-de-France";"Château-Thierry";"15513";"20";"12";"7";"2";"Château-Thierry";"3";"1";"3";"7";"1";"0";"3";"8";"5"
"02173";"Hauts-de-France";"Chauny";"11899";"9";"9";"1";"1";"Chauny";"1";"1";"1";"5";"3";"6";"1";"2";"4"
"02738";"Hauts-de-France";"Tergnier";"13646";"6";"9";"2";"0";"Tergnier";"7";"2";"2";"3";"1";"4";"2";"3";"3"
"02810";"Hauts-de-France";"Villers-Cotterêts";"10869";"8";"8";"4";"2";"Villers-Cotterêts";"7";"2";"2";"3";"0";"3";"2";"1";"4"
"03095";"Auvergne-Rhône-Alpes";"Cusset";"13371";"12";"24";"7";"1";"Cusset";"2";"1";"2";"4";"1";"4";"1";"1";"5"
"03190";"Auvergne-Rhône-Alpes";"Moulins";"19869";"30";"21";"9";"3";"Moulins";"2";"1";"1";"0";"6";"3";"4";"3";"8"
"03321";"Auvergne-Rhône-Alpes";"Yzeure";"13122";"5";"18";"3";"2";"Yzeure";"4";"4";"1";"3";"3";"6";"1";"3";"5"
"04070";"Provence-Alpes-Côte d'Azur";"Digne-les-Bains";"18124";"22";"36";"7";"3";"Digne-les-Bains";"3";"2";"2";"10";"7";"6";"1";"1";"5"
"05023";"Provence-Alpes-Côte d'Azur";"Briançon";"10875";"15";"51";"4";"2";"Briançon";"2";"1";"2";"4";"3";"1";"1";"4";"3"
"06012";"Provence-Alpes-Côte d'Azur";"Beausoleil";"12796";"27";"46";"6";"2";"Beausoleil";"4";"1";"1";"0";"1";"1";"2";"0";"3"
"06018";"Provence-Alpes-Côte d'Azur";"Biot";"10189";"9";"27";"1";"2";"Biot";"2";"1";"0";"2";"0";"1";"1";"0";"1"
"06033";"Provence-Alpes-Côte d'Azur";"Carros";"13419";"6";"20";"1";"2";"Carros";"4";"1";"1";"6";"1";"1";"1";"0";"2"
"06084";"Provence-Alpes-Côte d'Azur";"Mouans-Sartoux";"10720";"13";"25";"2";"3";"Mouans-Sartoux";"1";"1";"2";"3";"2";"1";"1";"1";"1"
"06104";"Provence-Alpes-Côte d'Azur";"Roquebrune-Cap-Martin";"12535";"12";"20";"4";"2";"Roquebrune-Cap-Martin";"6";"1";"0";"4";"2";"1";"0";"1";"1"
"06149";"Provence-Alpes-Côte d'Azur";"La Trinité";"10344";"13";"22";"1";"1";"La Trinité";"2";"0";"0";"4";"1";"4";"0";"0";"1"
"06152";"Provence-Alpes-Côte d'Azur";"Valbonne";"13164";"25";"38";"2";"1";"Valbonne";"1";"3";"1";"3";"4";"3";"2";"0";"1"
"06157";"Provence-Alpes-Côte d'Azur";"Vence";"19678";"22";"42";"7";"4";"Vence";"3";"2";"1";"4";"1";"1";"2";"0";"1"
"06161";"Provence-Alpes-Côte d'Azur";"Villeneuve-Loubet";"16995";"11";"27";"3";"2";"Villeneuve-Loubet";"2";"0";"1";"2";"2";"3";"1";"4";"1"
"07010";"Auvergne-Rhône-Alpes";"Annonay";"17439";"15";"10";"4";"3";"Annonay";"4";"2";"2";"7";"4";"3";"2";"0";"4"
"07019";"Auvergne-Rhône-Alpes";"Aubenas";"13140";"12";"19";"7";"4";"Aubenas";"1";"1";"1";"2";"5";"2";"1";"0";"4"
"07102";"Auvergne-Rhône-Alpes";"Guilherand-Granges";"11389";"19";"17";"6";"2";"Guilherand-Granges";"2";"3";"1";"3";"2";"3";"2";"0";"2"
"07324";"Auvergne-Rhône-Alpes";"Tournon-sur-Rhône";"11769";"7";"15";"3";"0";"Tournon-sur-Rhône";"1";"1";"1";"1";"2";"2";"2";"0";"2"
"08409";"Grand Est";"Sedan";"16941";"14";"19";"5";"3";"Sedan";"2";"2";"1";"5";"2";"4";"6";"6";"8"
"09225";"Occitanie";"Pamiers";"16907";"15";"19";"9";"1";"Pamiers";"2";"2";"3";"6";"2";"5";"1";"2";"10"
"10081";"Grand Est";"La Chapelle-Saint-Luc";"12374";"14";"4";"2";"0";"La Chapelle-Saint-Luc";"1";"2";"3";"7";"4";"6";"2";"1";"5"
"10323";"Grand Est";"Romilly-sur-Seine";"15081";"8";"11";"5";"2";"Romilly-sur-Seine";"1";"2";"2";"4";"5";"3";"3";"3";"4"
"10333";"Grand Est";"Saint-André-les-Vergers";"12952";"10";"10";"5";"2";"Saint-André-les-Vergers";"0";"1";"1";"0";"3";"3";"1";"2";"1"
"10362";"Grand Est";"Sainte-Savine";"10855";"6";"15";"2";"1";"Sainte-Savine";"1";"1";"1";"0";"3";"1";"1";"1";"3"
"11076";"Occitanie";"Castelnaudary";"12974";"11";"23";"5";"3";"Castelnaudary";"3";"2";"2";"3";"3";"3";"3";"4";"3"
"11203";"Occitanie";"Lézignan-Corbières";"11167";"7";"20";"7";"2";"Lézignan-Corbières";"2";"2";"2";"3";"3";"4";"4";"3";"4"
"11206";"Occitanie";"Limoux";"10750";"13";"20";"4";"3";"Limoux";"5";"2";"1";"4";"5";"4";"4";"5";"2"
"12176";"Occitanie";"Onet-le-Château";"12468";"4";"15";"2";"1";"Onet-le-Château";"4";"6";"2";"5";"4";"5";"3";"1";"3"
"12300";"Occitanie";"Villefranche-de-Rouergue";"12207";"11";"10";"6";"3";"Villefranche-de-Rouergue";"2";"2";"1";"2";"2";"4";"0";"4";"2"
"13007";"Provence-Alpes-Côte d'Azur";"Auriol";"12990";"11";"20";"2";"3";"Auriol";"2";"1";"0";"2";"1";"1";"2";"1";"1"
"13014";"Provence-Alpes-Côte d'Azur";"Berre-l'Étang";"13983";"9";"8";"1";"0";"Berre-l'Étang";"2";"2";"1";"5";"2";"5";"1";"0";"2"
